index1.1,index1.2,val1,index2.1,index2.2,val2,Class
0.1,0.06,0.335241,0.1,0.06,0.475221,0
0.1,0.24,0.33337,0.1,0.24,0.469329,0
0.1,0.48,0.277585,0.1,0.48,0.479347,0
16.64481151520009,5.58287931204265,41.879818559693284,13.026927529031648,7.120605488808863,66.08490267380998,1
0.1,1.2,0.244978,0.1,1.2,0.525612,0
0.1,1.8,0.011983,0.1,1.8,0.718181,0
0.5,0.06,1.58383,0.5,0.06,2.36477,0
0.5,0.24,1.58134,0.5,0.24,2.3708,0
0.5,0.48,1.53432,0.5,0.48,2.38155,0
0.5,0.9,1.52558,0.5,0.9,2.34519,0
0.5,1.2,1.47083,0.5,1.2,2.3437,0
0.5,1.8,1.24723,0.5,1.8,2.36987,0
1.2,0.06,3.74896,1.2,0.06,5.6772,0
1.2,0.24,3.78881,1.2,0.24,5.68693,0
1.2,0.48,3.71652,1.2,0.48,5.65479,0
1.2,0.9,3.6962,1.2,0.9,5.69527,0
1.2,1.2,3.64991,1.2,1.2,5.67202,0
1.2,1.8,3.44354,1.2,1.8,5.62242,0
3.0,0.06,9.2684,3.0,0.06,14.1025,0
14.087621591392818,5.585074605483824,56.74226237828226,9.402050197762996,7.193660308080247,37.97338455971829,1
3.0,0.48,9.2688,3.0,0.48,14.0868,0
3.0,0.9,9.30979,3.0,0.9,14.2896,0
3.0,1.2,9.19071,3.0,1.2,14.1135,0
3.0,1.8,8.94935,3.0,1.8,14.0464,0
4.0,0.06,12.6026,4.0,0.06,18.6951,0
4.0,0.24,12.5105,4.0,0.24,18.6883,0
4.0,0.48,12.3375,4.0,0.48,18.9963,0
4.0,0.9,12.465,4.0,0.9,18.736,0
4.0,1.2,12.3249,4.0,1.2,18.7061,0
4.0,1.8,12.0975,4.0,1.8,18.791,0
5.0,0.06,15.5352,5.0,0.06,23.6645,0
5.0,0.24,15.5624,5.0,0.24,23.4187,0
5.0,0.48,15.5634,5.0,0.48,23.2727,0
5.0,0.9,15.454,5.0,0.9,23.4945,0
5.0,1.2,15.4465,5.0,1.2,23.6717,0
5.0,1.8,15.2377,5.0,1.8,23.6913,0
0.1,0.06,0.335241,0.1,0.06,0.243067,0
0.1,0.24,0.33337,0.1,0.24,0.266772,0
0.1,0.48,0.277585,0.1,0.48,0.250856,0
0.1,0.9,0.287249,0.1,0.9,0.265419,0
0.1,1.2,0.244978,0.1,1.2,0.269267,0
0.1,1.8,0.011983,0.1,1.8,0.431288,0
0.5,0.06,1.58383,0.5,0.06,1.07437,0
0.5,0.24,1.58134,0.5,0.24,1.07853,0
0.5,0.48,1.53432,0.5,0.48,1.05575,0
0.5,0.9,1.52558,0.5,0.9,1.07894,0
0.5,1.2,1.47083,0.5,1.2,1.093,0
0.5,1.8,1.24723,0.5,1.8,1.27717,0
1.2,0.06,3.74896,1.2,0.06,2.49213,0
1.2,0.24,3.78881,1.2,0.24,2.53051,0
1.2,0.48,3.71652,1.2,0.48,2.49108,0
1.2,0.9,3.6962,1.2,0.9,2.51249,0
1.2,1.2,3.64991,1.2,1.2,2.50467,0
1.2,1.8,3.44354,1.2,1.8,2.6939,0
3.0,0.06,9.2684,3.0,0.06,6.1865,0
3.0,0.24,9.38517,3.0,0.24,6.16064,0
3.0,0.48,9.2688,3.0,0.48,6.15715,0
3.0,0.9,9.30979,3.0,0.9,6.19435,0
3.0,1.2,9.19071,3.0,1.2,6.17992,0
3.0,1.8,8.94935,3.0,1.8,6.34771,0
4.0,0.06,12.6026,4.0,0.06,8.19699,0
4.0,0.24,12.5105,4.0,0.24,8.23735,0
4.0,0.48,12.3375,4.0,0.48,8.17149,0
4.0,0.9,12.465,4.0,0.9,8.20701,0
4.0,1.2,12.3249,4.0,1.2,8.24945,0
4.0,1.8,12.0975,4.0,1.8,8.41948,0
5.0,0.06,15.5352,5.0,0.06,10.2503,0
5.0,0.24,15.5624,5.0,0.24,10.2124,0
5.0,0.48,15.5634,5.0,0.48,10.2301,0
5.0,0.9,15.454,5.0,0.9,10.2659,0
5.0,1.2,15.4465,5.0,1.2,10.2565,0
5.0,1.8,15.2377,5.0,1.8,10.4075,0
0.1,0.06,0.335241,0.1,0.06,0.287339,0
0.1,0.24,0.33337,0.1,0.24,0.281311,0
0.1,0.48,0.277585,0.1,0.48,0.33408,0
0.1,0.9,0.287249,0.1,0.9,0.415525,0
0.1,1.2,0.244978,0.1,1.2,0.600559,0
0.1,1.8,0.011983,0.1,1.8,0.491638,0
0.5,0.06,1.58383,0.5,0.06,1.43788,0
0.5,0.24,1.58134,0.5,0.24,1.40889,0
0.5,0.48,1.53432,0.5,0.48,1.41073,0
0.5,0.9,1.52558,0.5,0.9,1.4023,0
0.5,1.2,1.47083,0.5,1.2,1.42567,0
0.5,1.8,1.24723,0.5,1.8,1.39872,0
1.2,0.06,3.74896,1.2,0.06,3.4621,0
1.2,0.24,3.78881,1.2,0.24,3.42661,0
1.2,0.48,3.71652,1.2,0.48,3.38597,0
1.2,0.9,3.6962,1.2,0.9,3.38537,0
1.2,1.8,4.40285,1.2,1.8,0.010963,1
1.2,1.8,3.44354,1.2,1.8,3.36135,0
3.0,0.06,9.2684,3.0,0.06,8.42584,0
3.0,0.24,9.38517,3.0,0.24,8.41728,0
3.0,0.48,9.2688,3.0,0.48,8.38948,0
3.0,0.9,9.30979,3.0,0.9,8.4018,0
3.0,1.2,9.19071,3.0,1.2,8.52544,0
3.0,1.8,8.94935,3.0,1.8,8.39033,0
4.0,0.06,12.6026,4.0,0.06,11.3309,0
4.0,0.24,12.5105,4.0,0.24,11.3523,0
4.0,0.48,12.3375,4.0,0.48,11.1453,0
4.86899249256176,1.1144839742742585,12.634379081140183,3.9358008670411957,0.8658568961178547,11.025688182440248,1
4.0,1.2,12.3249,4.0,1.2,11.1623,0
4.0,1.8,12.0975,4.0,1.8,11.3251,0
9.725491836299192,6.345733447173484,63.174337057778715,16.52523598008955,8.23001870359275,43.34320014626992,1
5.0,0.24,15.5624,5.0,0.24,14.1118,0
5.0,0.48,15.5634,5.0,0.48,13.9728,0
5.0,0.9,15.454,5.0,0.9,13.9326,0
5.0,1.2,15.4465,5.0,1.2,14.1573,0
5.0,1.8,15.2377,5.0,1.8,14.1322,0
0.1,0.06,0.335241,0.1,0.06,0.00245,0
0.1,0.24,0.33337,0.1,0.24,0.005241,0
0.1,0.48,0.277585,0.1,0.48,0.007113,0
0.1,0.9,0.287249,0.1,0.9,0.015263,0
0.1,1.2,0.244978,0.1,1.2,0.018692,0
0.1,1.8,0.011983,0.1,1.8,0.022137,0
0.5,0.06,1.58383,0.5,0.06,0.00238,0
0.5,0.24,1.58134,0.5,0.24,0.005179,0
0.5,0.48,1.53432,0.5,0.48,0.007473,0
0.5,0.9,1.52558,0.5,0.9,0.015106,0
0.5,1.2,1.47083,0.5,1.2,0.019158,0
0.5,1.8,1.24723,0.5,1.8,0.022357,0
1.2,0.06,3.74896,1.2,0.06,0.002304,0
