index1.1,index1.2,val1,index2.1,index2.2,val2,index3.1,index3.2,val3
2.689912188242622,1.7050824359682688,6.413033259621659,3.1126625897702525,2.191889725154481,3.4013140067149474,2.4149064622788226,1.8734316047282076,-0.2751892641250941
3.0,0.06,2.41248,3.0,0.06,1.62103,3.0,0.06,0.073821
16.301846294627342,5.519110214244244,63.6571078220946,14.989437975743432,9.67946554255604,73.75409911346257,19.598731895687592,7.818377728638455,43.38788947232665
0.08,0.18,0.168706,0.08,0.18,0.191705,0.08,0.18,0.149638
0.0862778,0.06,0.089654,0.0860942,0.06,0.00775,0.0862778,0.06,0.006266
0.1,1.8,0.552672,0.1,1.8,0.309728,0.1,1.8,0.022669
4.0,0.48,4.12827,4.0,0.48,5.44675,4.0,0.48,0.006595
4.00318,1.2,13.1339,4.00318,1.2,18.9504,4.00325,1.2,9.54092
5.0,0.48,23.2421,5.0,0.48,10.4165,5.0,0.48,0.00755
0.1,1.2,0.317915,0.1,1.2,0.341945,0.1,1.2,0.007726
4.0,0.24,18.8998,4.0,0.24,6.9593,4.0,0.24,9.87012
0.02,0.06,0.052895,0.02,0.06,0.003912,0.02,0.06,0.005287
0.1,1.2,0.509434,0.1,1.2,0.360651,0.1,1.2,0.0429365
4.0,1.2,7.2538,4.0,1.2,0.004018,4.0,1.2,0.001287
0.1,0.48,0.457418,0.1,0.48,0.355038,0.1,0.48,0.382309
5.0,0.06,10.2503,5.0,0.06,13.944,5.0,0.06,0.004886
0.2,0.18,0.269459,0.2,0.18,0.005732,0.2,0.18,0.008304
0.811332107959079,1.0353977183355418,0.9646204010518148,0.9652553827680508,1.3557041755946653,1.9585317291544089,0.4031118398921509,0.9903843105505424,0.708624118320151
5.0,0.24,15.5192,5.0,0.24,23.6411,5.0,0.24,0.008097
0.04,0.18,0.08763,0.04,0.18,0.109712,0.04,0.18,0.000911
0.1,0.9,0.189595,0.1,0.9,0.072636,0.1,0.9,0.081584
5.0,0.9,15.8657,5.0,0.9,23.2937,5.0,0.9,12.2541
1.333843701163644,0.9479895816182158,4.187433278495164,0.6986112216812603,1.1229489924033262,0.4322588149573182,0.7830506574666098,1.877770708644604,0.7676516246177771
0.1,0.06,0.360796,0.1,0.06,0.284385,0.1,0.06,0.004777
0.1,0.24,0.416579,0.1,0.24,0.256429,0.1,0.24,0.008161
0.08,0.42,0.246997,0.08,0.42,0.03858,0.08,0.42,0.02661
0.5,0.48,1.68972,0.5,0.48,0.0184385,0.5,0.48,0.01677
5.0,1.2,15.552,5.0,1.2,13.9322,5.0,1.2,0.0220345
-0.4736259955873259,0.3981286263543924,0.363872606834328,-0.3130849771945889,0.6927043147092924,-0.4317299356238518,-0.4560886991981453,0.4233913511876154,0.5571845459443192
1.2,0.06,2.49138,1.2,0.06,0.002328,1.2,0.06,0.004499
0.2,0.18,0.356116,0.2,0.18,0.269459,0.2,0.18,0.005732
0.1,0.48,0.277585,0.1,0.48,0.479347,0.1,0.48,0.00573
15.7808809225508,6.945129980218268,44.10417772865758,9.736183528425023,6.159405534029692,47.26431785342177,19.32681329002651,9.106208387423964,24.37394125906133
9.70378299706831,7.807063566989926,40.57905185234476,18.668358285875243,9.589068249009957,58.724334936029805,11.85632813879331,7.436131029990907,28.8931985830531
3.0,0.48,14.2468,3.0,0.48,8.50691,3.0,0.48,0.001672
4.0,0.06,3.12674,4.0,0.06,2.05773,4.0,0.06,0.032997
1.2,0.06,5.72181,1.2,0.06,2.94235,1.2,0.06,0.004028
3.0,0.24,6.183,3.0,0.24,8.44088,3.0,0.24,0.004494
1.2,0.9,4.18477,1.2,0.9,2.84246,1.2,0.9,0.008813
4.00318,0.24,18.9865,4.00325,0.24,7.02433,4.00325,0.24,9.47261
5.0,1.2,5.0968,5.0,1.2,6.76451,5.0,1.2,0.04116
1.2,0.48,3.87724,1.2,0.48,2.89062,1.2,0.48,0.007891
